ItemName_TH= {
    ItemName_Base.ChairLeg = "ขาเก้าอี้",
    ItemName_Base.Charcoal = "ถ่านไม้",
    ItemName_Base.CheckerBoard = "กระดานหมากรุก",
    ItemName_Base.Cheese = "ชีส",
    ItemName_Base.CheeseSandwich = "แซนด์วิชชีส",
    ItemName_Base.Cherry = "เชอร์รี",
    ItemName_Base.ChessBlack = "หมากรุกสีดำ",
    ItemName_Base.ChessWhite = "หมากรุกสีขาว",
    ItemName_Base.Chicken = "ไก่",
    ItemName_Base.ChickenFoot = "ตีนไก่",
    ItemName_Base.ChickenFried = "ไก่ทอด",
    ItemName_Base.ChickenNuggets = "นักเก็ตไก่",
    ItemName_Base.Chives = "กุ้ยช่าย",
    ItemName_Base.ChocoCakes = "เค้กช็อกโกแลต",
    ItemName_Base.Chocolate = "ช็อกโกแลต",
    ItemName_Base.ChocolateChips = "ช็อกโกแลตชิป",
    ItemName_Base.ChocolateCoveredCoffeeBeans = "เมล็ดกาแฟเคลือบช็อกโกแลต",
    ItemName_Base.ChokeTubeFull = "โช๊คแคบ",
    ItemName_Base.ChokeTubeImproved = "โช๊คกว้าง",
    ItemName_Base.Chopsticks = "ตะเกียบ",
    ItemName_Base.ChrisPic = "รูปภาพของคริส เบลีย์",
    ItemName_Base.Cigarettes = "บุหรี่",
    ItemName_Base.Cilantro = "ผักชี",
    ItemName_Base.CinnamonRoll = "ซินนามอนโรล",
    ItemName_Base.CleaningLiquid = "น้ำยาทำความสะอาด",
    ItemName_Base.CleaningLiquid2 = "น้ำยาทำความสะอาด",
    ItemName_Base.ClosedUmbrellaBlack = "ร่ม (หุบ)",
    ItemName_Base.ClosedUmbrellaBlue = "ร่ม (หุบ)",
    ItemName_Base.ClosedUmbrellaRed = "ร่ม (หุบ)",
    ItemName_Base.ClosedUmbrellaWhite = "ร่ม (หุบ)",
    ItemName_Base.ClubHammer = "ค้อนทุบเนื้อ",
    ItemName_Base.Coal = "ถ่าน",
    ItemName_Base.Cockroach = "แมลงสาบ",
    ItemName_Base.CocoaPowder = "โกโก้ผง",
    ItemName_Base.Coffee = "กาแฟ",
    ItemName_Base.Coffee2 = "กาแฟ",
    ItemName_Base.ColdCuppa = "เครื่องดื่มเย็น",
    ItemName_Base.ColdDrinkRed = "เครื่องดื่มเย็น",
    ItemName_Base.ColdDrinkSpiffo = "เครื่องดื่มเย็น",
    ItemName_Base.ColdDrinkWhite = "เครื่องดื่มเย็น",
    ItemName_Base.Coldpack = "เจลประคบเย็น",
    ItemName_Base.Cologne = "น้ำหอมระงับกลิ่นกาย",
    ItemName_Base.Comb = "หวี",
    ItemName_Base.CombinationPadlock = "แม่กุญแจแบบรหัส",
    ItemName_Base.Comfrey = "คอมเฟรย์ ",
    ItemName_Base.ComfreyCataplasm = "คอมเฟรย์ (ยาพอก)",
    ItemName_Base.ComicBook = "หนังสือการ์ตูน",
    ItemName_Base.CommonMallow = "แมลโลว์",
    ItemName_Base.CompostBag = "กระสอบปุ๋ย",
    ItemName_Base.ConcretePowder = "ถุงปูนคอนกรีต",
    ItemName_Base.Cone = "โคนไอศกรีม",
    ItemName_Base.ConeIcecream = "ไอศกรีมโคน",
    ItemName_Base.ConeIcecreamToppings = "ไอศกรีมโคน",
    ItemName_Base.ConeIcecreamMelted = "ไอศกรีมโคน (ละลาย)",
    ItemName_Base.CookieChocolateChip = "คุกกี้ช็อกโกแลตชิป",
    ItemName_Base.CookieJelly = "เค้กราสเบอรี่",
    ItemName_Base.CookiesChocolate = "คุกกี้ช็อกโกแลต",
    ItemName_Base.CookiesOatmeal = "คุ้กกี้ข้าวโอ๊ต",
    ItemName_Base.CookiesShortbread = "คุกกี้ชอร์ตเบรด",
    ItemName_Base.CookiesSugar = "คุกกี้เคลือบน้ำตาล",
    ItemName_Base.CookieChocolateChipDough = "ถาดอบคุกกี้ช็อกโกแลตชิป",
    ItemName_Base.CookieJellyDough = "ถาดอบราสเบอร์รีชอร์ตเบรด",
    ItemName_Base.CookiesChocolateDough = "ถาดอบคุกกี้ช็อกโกแลต",
    ItemName_Base.CookiesOatmealDough = "ถาดอบคุกกี้ข้าวโอ๊ต",
    ItemName_Base.CookiesShortbreadDough = "ถาดอบคุกกี้ชอร์ตเบรด",
    ItemName_Base.CookiesSugarDough = "ถาดอบคุกกี้เคลือบน้ำตาล",
    ItemName_Base.CookingMag1 = "นิตยสารอาหาร เล่มที่ 1",
    ItemName_Base.CookingMag2 = "นิตยสารอาหาร เล่มที่ 2",
    ItemName_Base.Cooler = "กระติกน้ำแข็ง",
    ItemName_Base.CordlessPhone = "โทรศัพท์ไร้สาย",
    ItemName_Base.Cork = "จุกไม้ก๊อก",
    ItemName_Base.Corkscrew = "ที่เปิดไวน์",
    ItemName_Base.Corn = "ข้าวโพด",
    ItemName_Base.CornFrozen = "ข้าวโพดบรรจุถุง",
    ItemName_Base.Cornbread = "ขนมปังข้าวโพด",
    ItemName_Base.Corndog = "คอร์นด็อก",
    ItemName_Base.Cornflour = "แป้งข้าวโพด",
    ItemName_Base.Cornmeal = "แป้งข้าวโพด",
    ItemName_Base.CorpseFemale = "ศพ",
    ItemName_Base.CorpseMale = "ศพ",
    ItemName_Base.Corset = "คอร์เซ็ต",
    ItemName_Base.Corset_Black = "คอร์เซ็ตสีดำ",
    ItemName_Base.Corset_Medical = "คอร์เซ็ตกระชับหลัง",
    ItemName_Base.Corset_Red = "คอร์เซ็ตสีแดง",
    ItemName_Base.CortmanPic = "รูปภาพของ ดร.คอร์ตแมน",
    ItemName_Base.CottonBalls = "สำลีก้อน",
    ItemName_Base.Crackers = "แคร็กเกอร์",
    ItemName_Base.CraftedFishingRod = "เบ็ดตกปลา",
    ItemName_Base.CraftedFishingRodTwineLine = "เบ็ดตกปลา",
    ItemName_Base.Crappie = "ปลาแครปปี้",
    ItemName_Base.Crate = "ลังไม้",
    ItemName_Base.Crayfish = "กุ้งเครย์ฟิช",
    ItemName_Base.Crayons = "ดินสอสี",
    ItemName_Base.CreditCard = "บัตรเครดิต",
    ItemName_Base.Cricket = "จิ้งหรีด",
    ItemName_Base.Crisps = "ขนมอบกรอบ",
    ItemName_Base.Crisps2 = "ขนมอบกรอบ",
    ItemName_Base.Crisps3 = "ขนมอบกรอบ",
    ItemName_Base.Crisps4 = "ขนมอบกรอบ",
    ItemName_Base.Croissant = "ครัวซองต์",
    ItemName_Base.Crowbar = "ชะแลง",
    ItemName_Base.Cube = "ลูกบาศก์ของรูบิก",
    ItemName_Base.Cupcake = "คัพเค้ก",
    ItemName_Base.CuttingBoardPlastic = "เขียงพลาสติก",
    ItemName_Base.CuttingBoardWooden = "เขียงไม้",
    ItemName_Base.Daikon = "หัวไชเท้าญี่ปุ่น",
    ItemName_Base.Dandelions = "แดนดิไลออน",
    ItemName_Base.Dart = "ลูกดอก",
    ItemName_Base.DeadBird = "ซากนกตาย",
    ItemName_Base.DeadMouse = "ซากหนูตาย",
    ItemName_Base.DeadRabbit = "ซากกระต่ายตาย",
    ItemName_Base.DeadRat = "ซากหนูตาย",
    ItemName_Base.DeadSquirrel = "ซากกระรอกตาย",
    ItemName_Base.DehydratedMeatStick = "เนื้ออบแห้ง",
    ItemName_Base.DenimStrips = "เศษผ้ายีนส์",
    ItemName_Base.DenimStripsDirty = "เศษผ้ายีนส์สกปรก",
    ItemName_Base.Dice = "ลูกเต๋า",
    ItemName_Base.DigitalWatch = "นาฬิกาข้อมือ",
    ItemName_Base.DigitalWatch2 = "นาฬิกาข้อมือ",
    ItemName_Base.Dirtbag = "กระสอบดิน",
    ItemName_Base.Disc = "แผ่นซีดี",
    ItemName_Base.Disc_Retail = "แผ่นซีดี",
    ItemName_Base.DishCloth = "ผ้าเช็ดจาน",
    ItemName_Base.DishClothWet = "ผ้าเช็ดจาน (เปียก)",
    ItemName_Base.Disinfectant = "ยาฆ่าเชื้อ",
    ItemName_Base.DogChew = "ของเล่นสุนัข",
    ItemName_Base.Dogfood = "อาหารสุนัข",
    ItemName_Base.DogfoodOpen = "อาหารสุนัข (เปิดแล้ว)",
    ItemName_Base.Doll = "ตุ๊กตา",
    ItemName_Base.Doodle = "แผ่นกระดาษบันทึกยึกยือ",
    ItemName_Base.Door = "ประตู",
    ItemName_Base.DoorFrame = "กรอบประตู",
    ItemName_Base.Doorknob = "ลูกบิดประตู",
    ItemName_Base.DoubleBarrelShotgun = "ปืนลูกซองแฝด",
    ItemName_Base.DoubleBarrelShotgunSawnoff = "ปืนลูกซองแฝดสั้น",
    ItemName_Base.Dough = "แป้งขนมปัง",
    ItemName_Base.DoughRolled = "แป้งนวด",
    ItemName_Base.DoughnutChocolate = "โดนัทช็อกโกแลต",
    ItemName_Base.DoughnutFrosted = "โดนัทเคลือบน้ำตาล",
    ItemName_Base.DoughnutJelly = "โดนัทเยลลี่",
    ItemName_Base.DoughnutPlain = "โดนัท",
    ItemName_Base.Drawer = "ลิ้นชักโต๊ะ",
    ItemName_Base.DressKnees_Straps = "ชุดราตรียาวหัวเข่า",
    ItemName_Base.Dress_Knees = "ชุดเดรสสั้น",
    ItemName_Base.Dress_Long = "ชุดเดรสยาว",
    ItemName_Base.Dress_Normal = "ชุดเดรส",
    ItemName_Base.Dress_SatinNegligee = "ชุดนอนผ้าซาติน",
    ItemName_Base.Dress_Short = "ชุดเดรสสั้นเหนือหัวเข่า",
    ItemName_Base.Dress_SmallBlackStrapless = "ชุดราตรีเกาะอกสั้นสีดำ",
    ItemName_Base.Dress_SmallBlackStraps = "ชุดราตรีสั้นสีดำ",
    ItemName_Base.Dress_SmallStrapless = "ชุดราตรีเกาะอกสั้น",
    ItemName_Base.Dress_SmallStraps = "ชุดราตรีสั้น",
    ItemName_Base.Dress_Straps = "ชุดราตรี",
    ItemName_Base.Dress_long_Straps = "ชุดราตรียาว",
    ItemName_Base.DriedBlackBeans = "ถั่วดำอบกรอบ",
    ItemName_Base.DriedChickpeas = "ถั่วหัวช้างอบกรอบ",
    ItemName_Base.DriedKidneyBeans = "ถั่วแดงอบกรอบ",
    ItemName_Base.DriedLentils = "ถั่วเลนทิลอบกรอบ",
    ItemName_Base.DriedSplitPeas = "ถั่วลันเตาอบกรอบ",
    ItemName_Base.DriedWhiteBeans = "ถั่วขาวอบกรอบ",
    ItemName_Base.Drumstick = "ไม้กลอง",
    ItemName_Base.DuctTape = "เทปกาว",
    ItemName_Base.DumbBell = "ดัมบ์เบลล์",
    ItemName_Base.Dungarees = "ชุดเอี๊ยม",
    ItemName_Base.Earbuds = "หูฟังเล็ก",
    ItemName_Base.Earring_Dangly_Diamond = "ตุ้มหูห้อยเพชร",
    ItemName_Base.Earring_Dangly_Emerald = "ตุ้มหูห้อยมรกต",
    ItemName_Base.Earring_Dangly_Pearl = "ตุ้มหูห้อยไข่มุก",
    ItemName_Base.Earring_Dangly_Ruby = "ตุ้มหูห้อยทับทิม",
    ItemName_Base.Earring_Dangly_Sapphire = "ตุ้มหูห้อยแซฟไฟร์",
    ItemName_Base.Earring_LoopLrg_Gold = "ตุ้มหูทองวงใหญ่",
    ItemName_Base.Earring_LoopLrg_Silver = "ตุ้มหูเงินวงใหญ่",
    ItemName_Base.Earring_LoopMed_Gold = "ตุ้มหูทองวงกลาง",
    ItemName_Base.Earring_LoopMed_Silver = "ตุ้มหูเงินวงกลาง",
    ItemName_Base.Earring_LoopSmall_Gold_Both = "ตุ้มหูทองวงเล็ก",
    ItemName_Base.Earring_LoopSmall_Gold_Top = "ตุ้มหูทองวงเล็ก",
    ItemName_Base.Earring_LoopSmall_Silver_Both = "ตุ้มหูเงินวงเล็ก",
    ItemName_Base.Earring_LoopSmall_Silver_Top = "ตุ้มหูเงินวงเล็ก",
    ItemName_Base.Earring_Pearl = "ตุ้มหูไข่มุก",
    ItemName_Base.Earring_Stone_Emerald = "ตุ้มหูมรกต",
    ItemName_Base.Earring_Stone_Ruby = "ตุ้มหูทับทิม",
    ItemName_Base.Earring_Stone_Sapphire = "ตุ้มหูแซฟไฟร์",
    ItemName_Base.Earring_Stud_Gold = "ตุ้มหูทอง",
    ItemName_Base.Earring_Stud_Silver = "ตุ้มหูเงิน",
    ItemName_Base.Earrings = "ตุ้มหู",
    ItemName_Base.Edamame = "ถั่วแระ",
    ItemName_Base.Egg = "ไข่",
    ItemName_Base.EggBoiled = "ไข่ต้ม",
    ItemName_Base.EggCarton = "ไข่ ในแผงไข่",
    ItemName_Base.EggOmelette = "ไข่เจียว",
    ItemName_Base.EggPoached = "ไข่ดาวน้ำ",
    ItemName_Base.EggScrambled = "ไข่กวน",
    ItemName_Base.Eggplant = "มะเขือยาว",
    ItemName_Base.ElectronicsMag1 = "นิตยสารไฟฟ้า เล่มที่ 1",
    ItemName_Base.ElectronicsMag2 = "นิตยสารไฟฟ้า เล่มที่ 2",
    ItemName_Base.ElectronicsMag3 = "นิตยสารไฟฟ้า เล่มที่ 3",
    ItemName_Base.ElectronicsMag4 = "วิธีใช้เครื่องกำเนิดไฟฟ้า",
    ItemName_Base.ElectronicsMag5 = "นิตยสารไฟฟ้า เล่มที่ 4",
    ItemName_Base.ElectronicsScrap = "ชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์",
    ItemName_Base.EmptyJar = "โหลแก้ว",
    ItemName_Base.EmptyPetrolCan = "ถังน้ำมัน",
    ItemName_Base.EmptySandbag = "กระสอบเปล่า",
    ItemName_Base.EngineDoor1 = "กระโปรงหน้า",
    ItemName_Base.EngineDoor2 = "กระโปรงหน้า",
    ItemName_Base.EngineDoor3 = "กระโปรงหน้า",
    ItemName_Base.EngineParts = "ชิ้นส่วนอะไหล่เครื่องยนต์",
    ItemName_Base.EngineerMagazine1 = "นิตยสารวิศวกร เล่มที่ 1",
    ItemName_Base.EngineerMagazine2 = "นิตยสารวิศวกร เล่มที่ 2",
    ItemName_Base.Eraser = "ยางลบ",
    ItemName_Base.Extinguisher = "ถังดับเพลิง",
    ItemName_Base.FarmingMag1 = "นิตยสารการเพาะปลูก",
    ItemName_Base.Fertilizer = "ถุงปุ๋ย",
    ItemName_Base.FertilizerEmpty = "ถุงปุ๋ยเปล่า",
    ItemName_Base.FiberglassStock = "พานท้ายใยแก้ว",
    ItemName_Base.FireWoodKit = "ไม้เกี๊ยะ",
    ItemName_Base.FirstAidKit = "ชุดปฐมพยาบาล",
    ItemName_Base.FishFillet = "เนื้อปลา",
    ItemName_Base.FishFried = "ปลาทอด",
    ItemName_Base.FishRoe = "ไข่ปลา",
    ItemName_Base.FishingLine = "สายเบ็ดตกปลา",
    ItemName_Base.FishingMag1 = "นิตยสารตกปลา เล่มที่ 1",
    ItemName_Base.FishingMag2 = "นิตยสารตกปลา เล่มที่ 2",
    ItemName_Base.FishingNet = "ตาข่ายดักปลา",
    ItemName_Base.FishingRod = "เบ็ดตกปลา",
    ItemName_Base.FishingRodBreak = "เบ็ดตกปลา (ไม่มีสาย)",
    ItemName_Base.FishingRodTwineLine = "เบ็ดตกปลา",
    ItemName_Base.FishingTackle = "เหยื่อปลอม",
    ItemName_Base.FishingTackle2 = "เหยื่อปลอม",
    ItemName_Base.FlameTrap = "ระเบิดไฟ",
    ItemName_Base.FlameTrapRemote = "ระเบิดไฟ (ควบคุมด้วยรีโมต)",
    ItemName_Base.FlameTrapSensorV1 = "ระเบิดไฟ (เซ็นเซอร์)",
    ItemName_Base.FlameTrapSensorV2 = "ระเบิดไฟ (เซ็นเซอร์)",
    ItemName_Base.FlameTrapSensorV3 = "ระเบิดไฟ (เซ็นเซอร์)",
    ItemName_Base.FlameTrapTriggered = "ระเบิดไฟ (ตั้งเวลา)",
    ItemName_Base.Flightcase = "กระเป๋ากันกระแทก",
    ItemName_Base.FlintKnife = "มีดหิน",
    ItemName_Base.Flour = "แป้งทำขนม",
    ItemName_Base.FluffyfootBunny = "ตุ๊กตาเจ้ากระต่ายฟลัฟฟีฟุต",
    ItemName_Base.Flute = "ขลุ่ย",
    ItemName_Base.Football = "ลูกอเมริกันฟุตบอล",
    ItemName_Base.Football2 = "ลูกอเมริกันฟุตบอล",
    ItemName_Base.Fork = "ส้อม",
    ItemName_Base.FountainCup = "แก้วน้ำอัดลม",
    ItemName_Base.Frame = "กรอบรูป",
    ItemName_Base.FreddyFox = "ตุ๊กตาเจ้าจิ้งจอกเฟรดดี้",
    ItemName_Base.FriedOnionRings = "หอมใหญ่ทอด",
    ItemName_Base.FriedOnionRingsCraft = "หอมใหญ่ทอด",
    ItemName_Base.Fries = "เฟรนช์ฟรายส์",
    ItemName_Base.FrillyUnderpants_Black = "กางเกงในลายดำ",
    ItemName_Base.FrillyUnderpants_Pink = "กางเกงในสีชมพู",
    ItemName_Base.FrillyUnderpants_Red = "กางเกงในลายแดง",
    ItemName_Base.Frog = "กบ",
    ItemName_Base.FrogMeat = "เนื้อกบ",
    ItemName_Base.FrontCarDoor1 = "ประตูหน้า",
    ItemName_Base.FrontCarDoor2 = "ประตูหน้า",
    ItemName_Base.FrontCarDoor3 = "ประตูหน้า",
    ItemName_Base.FrontWindow1 = "กระจกหน้าต่างหน้า",
    ItemName_Base.FrontWindow2 = "กระจกหน้าต่างหน้า",
    ItemName_Base.FrontWindow3 = "กระจกหน้าต่างหน้า",
    ItemName_Base.FruitSalad = "สลัด",
    ItemName_Base.FullKettle = "กาต้มน้ำ (มีน้ำ)",
    ItemName_Base.FurbertSquirrel = "ตุ๊กตาเจ้ากระรอกเฟอร์เบิร์ต",
    ItemName_Base.GamePieceBlack = "หมากสีดำ",
    ItemName_Base.GamePieceRed = "หมากสีแดง",
    ItemName_Base.GamePieceWhite = "หมากสีขาว",
    ItemName_Base.Garbagebag = "ถุงดำ",
    ItemName_Base.GardenFork = "คราดสวน",
    ItemName_Base.GardenHoe = "จอบ",
    ItemName_Base.GardenSaw = "เลื่อยตัดกิ่งไม้",
    ItemName_Base.Garter = "สายรัดต้นขา",
    ItemName_Base.Generator = "เครื่องกำเนิดไฟฟ้า",
    ItemName_Base.Ghillie_Top = "ชุดพรางตัว",
    ItemName_Base.Ghillie_Trousers = "กางเกงพรางตัว",
    ItemName_Base.GingerPickled = "ขิงดอง",
    ItemName_Base.GingerRoot = "รากขิง",
    ItemName_Base.Ginseng = "โสม",
    ItemName_Base.GlassTumbler = "แก้วทัมเบลอร์",
    ItemName_Base.GlassTumblerWater = "แก้วทัมเบลอร์ใส่น้ำ",
    ItemName_Base.GlassWine = "แก้วไวน์",
    ItemName_Base.GlassWineWater = "แก้วไวน์ใส่น้ำ",
    ItemName_Base.Glasses = "แว่นตากันแดดทรงสปอร์ต",
    ItemName_Base.Glasses_Aviators = "แว่นตาทรงนักบิน",
    ItemName_Base.Glasses_Eyepatch_Left = "ที่คาดตา",
    ItemName_Base.Glasses_Eyepatch_Right = "ที่คาดตา",
    ItemName_Base.Glasses_Normal = "แว่นตา",
    ItemName_Base.Glasses_Reading = "แว่นตาอ่านหนังสือ",
    ItemName_Base.Glasses_SafetyGoggles = "แว่นนิรภัย",
    ItemName_Base.Glasses_Shooting = "แว่นยิงปืน",
    ItemName_Base.Glasses_SkiGoggles = "แว่นครอบตาเล่นสกี",
    ItemName_Base.Glasses_Sun = "แว่นกันแดด",
    ItemName_Base.Glasses_SwimmingGoggles = "แว่นตาว่ายน้ำ",
    ItemName_Base.GloveBox1 = "ช่องเก็บของ",
    ItemName_Base.GloveBox2 = "ช่องเก็บของ",
    ItemName_Base.GloveBox3 = "ช่องเก็บของ",
    ItemName_Base.Gloves_BoxingBlue = "นวมชกมวย",
    ItemName_Base.Gloves_BoxingRed = "นวมชกมวย",
    ItemName_Base.Gloves_FingerlessGloves = "ถุงมือครึ่งนิ้ว",
    ItemName_Base.Gloves_LeatherGloves = "ถุงมือหนัง",
    ItemName_Base.Gloves_LeatherGlovesBlack = "ถุงมือหนัง",
    ItemName_Base.Gloves_LongWomenGloves = "ถุงมือยาว",
    ItemName_Base.Gloves_Surgical = "ถุงมือผ่าตัด",
    ItemName_Base.Gloves_WhiteTINT = "ถุงมือ",
    ItemName_Base.Glue = "กาว",
    ItemName_Base.GolfBall = "ลูกกอล์ฟ",
    ItemName_Base.Golfclub = "ไม้กอล์ฟ",
    ItemName_Base.GrahamCrackers = "แคร็กเกอร์",
    ItemName_Base.GranolaBar = "ธัญพืชอัดแท่ง",
    ItemName_Base.GrapeLeaves = "ใบองุ่น",
    ItemName_Base.Grapefruit = "ส้มโอ",
    ItemName_Base.Grapes = "องุ่น",
    ItemName_Base.Grasshopper = "ตั๊กแตน",
    ItemName_Base.Gravelbag = "กระสอบหินกรวด",
    ItemName_Base.Gravy = "น้ำเกรวี่",
    ItemName_Base.GravyMix = "ซอสผงน้ำเกรวี",
    ItemName_Base.GriddlePanFriedVegetables = "ผัด",
    ItemName_Base.GridlePan = "กระทะทรงเหลี่ยม",
    ItemName_Base.GrillBrush = "ตะหลิวย่าง",
    ItemName_Base.GrilledCheese = "แซนด์วิชชีสย่าง",
    ItemName_Base.GroceryBag1 = "ถุงพลาสติก",
    ItemName_Base.GroceryBag2 = "ถุงพลาสติก",
    ItemName_Base.GroceryBag3 = "ถุงพลาสติก",
    ItemName_Base.GroceryBag4 = "ถุงพลาสติก",
    ItemName_Base.GroceryBag5 = "ถุงพลาสติก",
    ItemName_Base.Guacamole = "กัวคาโมเล่",
    ItemName_Base.GuitarAcoustic = "กีตาร์โปร่ง",
    ItemName_Base.GuitarElectricBassBlack = "กีตาร์เบสไฟฟ้าสีดำ",
    ItemName_Base.GuitarElectricBassBlue = "กีตาร์เบสไฟฟ้าสีน้ำเงิน",
    ItemName_Base.GuitarElectricBassRed = "กีตาร์เบสไฟฟ้าสีแดง",
    ItemName_Base.GuitarElectricBlack = "กีตาร์ไฟฟ้าสีดำ",
    ItemName_Base.GuitarElectricBlue = "กีตาร์ไฟฟ้าสีน้ำเงิน",
    ItemName_Base.GuitarElectricRed = "กีตาร์ไฟฟ้าสีแดง",
    ItemName_Base.Guitarcase = "กระเป๋าใส่กีต้าร์",
    ItemName_Base.Gum = "หมากฝรั่ง",
    ItemName_Base.GummyBears = "เยลลี่กัมมี่แบร์",
    ItemName_Base.GummyWorms = "เยลลี่กัมมี่เวิร์ม",
    ItemName_Base.GunLight = "ไฟฉายติดปืน",
    ItemName_Base.GunPowder = "ดินปืน",
    ItemName_Base.HairDyeBlack = "ยาย้อมผมสีดำ",
    ItemName_Base.HairDyeBlonde = "ยาย้อมผมสีบลอนด์",
    ItemName_Base.HairDyeBlue = "ยาย้อมผมสีฟ้า",
    ItemName_Base.HairDyeGinger = "ยาย้อมผมสีบลอนด์แดง",
    ItemName_Base.HairDyeGreen = "ยาย้อมผมสีเขียว",
    ItemName_Base.HairDyeLightBrown = "ยาย้อมผมสีน้ำตาลอ่อน",
    ItemName_Base.HairDyePink = "ยาย้อมผมสีชมพู",
    ItemName_Base.HairDyeRed = "ยาย้อมผมสีแดง",
    ItemName_Base.HairDyeWhite = "ยาย้อมผมสีขาว",
    ItemName_Base.HairDyeYellow = "ยาย้อมผมสีเหลือง",
    ItemName_Base.Hairgel = "เจลใส่ผม",
    ItemName_Base.Hairspray = "น้ำยาฉีดผม",
    ItemName_Base.HalloweenPumpkin = "ฟักทองฮาโลวีน",
    ItemName_Base.Ham = "แฮม",
    ItemName_Base.HamSlice = "แฮมหั่นบาง",
    ItemName_Base.Hammer = "ค้อน",
    ItemName_Base.HammerStone = "ค้อนหิน",
    ItemName_Base.HandAxe = "ขวานเล็ก",
    ItemName_Base.HandFork = "ส้อมพรวนดิน",
    ItemName_Base.HandScythe = "เคียว",
    ItemName_Base.HandTorch = "ไฟฉายเล็ก",
    ItemName_Base.Handbag = "กระเป๋าถือ",
    ItemName_Base.Handle = "ด้ามจับ",
    ItemName_Base.HankPic = "รูปภาพของแฮงก์",
    ItemName_Base.HardCandies = "ลูกกวาด",
    ItemName_Base.Hat_Antlers = "เขากวางคริสต์มาส",
    ItemName_Base.Hat_Army = "หมวกทหาร",
    ItemName_Base.Hat_BalaclavaFace = "หมวกไอ้โม่งเปิดหน้า",
    ItemName_Base.Hat_BalaclavaFull = "หมวกไอ้โม่ง",
    ItemName_Base.Hat_Bandana = "ผ้าพันคอ (โพกหัว)",
    ItemName_Base.Hat_BandanaMask = "ผ้าพันคอ (ปิดหน้า)",
    ItemName_Base.Hat_BandanaMaskTINT = "ผ้าพันคอ (ปิดหน้า)",
    ItemName_Base.Hat_BandanaTINT = "ผ้าพันคอ (โพกหัว)",
    ItemName_Base.Hat_BandanaTied = "ผ้าพันคอ (มัดหัว)",
    ItemName_Base.Hat_BandanaTiedTINT = "ผ้าพันคอ (มัดหัว)",
    ItemName_Base.Hat_BaseballCap = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapArmy = "หมวกแก๊ปทหาร",
    ItemName_Base.Hat_BaseballCapArmy_Reverse = "หมวกแก๊ปทหาร",
    ItemName_Base.Hat_BaseballCapBlue = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapBlue_Reverse = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapGreen = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapGreen_Reverse = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapKY = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapKY_Red = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapKY_Reverse = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapRed = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCapRed_Reverse = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballCap_Reverse = "หมวกแก๊ปเบสบอล",
    ItemName_Base.Hat_BaseballHelmet_KY = "หมวกกันน็อกเบสบอล",
    ItemName_Base.Hat_BaseballHelmet_Rangers = "หมวกกันน็อกเบสบอล ริเวอร์ไซด์แรนเจอร์",
    ItemName_Base.Hat_BaseballHelmet_Z = "หมวกเบสบอล ซีเฮอร์ริเคน",
    ItemName_Base.Hat_Beany = "หมวกไหมพรม",
    ItemName_Base.Hat_Beret = "หมวกเบเร่ต์",
    ItemName_Base.Hat_BeretArmy = "หมวกเบเร่ต์ทหาร",
    ItemName_Base.Hat_BicycleHelmet = "หมวกจักรยาน",
    ItemName_Base.Hat_BonnieHat = "หมวกเดินป่า",
    ItemName_Base.Hat_BonnieHat_CamoGreen = "หมวกเดินป่า",
    ItemName_Base.Hat_BoxingBlue = "หมวกนักมวย",
    ItemName_Base.Hat_BoxingRed = "หมวกนักมวย",
    ItemName_Base.Hat_BucketHat = "หมวกถัง",
    ItemName_Base.Hat_BunnyEarsBlack = "หูบันนี่",
    ItemName_Base.Hat_BunnyEarsWhite = "หูบันนี่",
    ItemName_Base.Hat_ChefHat = "หมวกกุ๊ก",
    ItemName_Base.Hat_Cowboy = "หมวกคาวบอย",
    ItemName_Base.Hat_CrashHelmet = "หมวกกันน็อก",
    ItemName_Base.Hat_CrashHelmetFULL = "หมวกกันน็อกมอเตอร์ไซค์",
    ItemName_Base.Hat_CrashHelmet_Police = "หมวกกันน็อกตำรวจ",
    ItemName_Base.Hat_CrashHelmet_Stars = "หมวกกันน็อก ลายธงชาติสหรัฐ",
    ItemName_Base.Hat_DustMask = "หน้ากากกันฝุ่น",
    ItemName_Base.Hat_EarMuff_Protectors = "อุปกรณ์ป้องกันหู",
    ItemName_Base.Hat_EarMuffs = "อุปกรณ์ครอบหู",
    ItemName_Base.Hat_FastFood = "หมวกส่งอาหาร",
    ItemName_Base.Hat_FastFood_IceCream = "หมวกร้านไอศกรีม",
    ItemName_Base.Hat_FastFood_Spiffo = "หมวกร้านสปิฟโฟ",
